Model,n,mean_residual,std_residual,mse,rmse,mae,bias,r2,n_outliers,outlier_percentage,n_influential,shapiro_stat,shapiro_p,ks_stat,ks_p,bp_stat,bp_p,white_stat,white_p,dw_stat
Model_A,100,-0.00223045870499239,0.09488886405106461,0.009008871466936099,0.09491507502465611,0.07562065861064787,-0.00223045870499239,0.9889667769896765,0,0.0,5,0.9775336980819702,0.0852515920996666,0.07327622402247314,0.629349613631063,1.2373986926044633,0.265972978770492,5.579372403259941,0.23284018026746464,2.147065584164013
Model_B,100,-0.004152458417947394,0.30330040278938875,0.09200837724311828,0.3033288269240467,0.2502092092694044,-0.004152458417947394,0.9119316993779303,0,0.0,3,0.9853998422622681,0.339251309633255,0.07751755974843455,0.5585200382875302,0.0988492531758478,0.7532149697511291,3.0074611396908923,0.5565775736972309,1.8365527602704592
Model_C,100,0.02227572911255498,0.28786013384833486,0.08335966476667717,0.2887207383730465,0.23323830504521387,0.02227572911255498,0.9253101447708557,0,0.0,6,0.992662787437439,0.8669070601463318,0.06662774471924088,0.740815941555605,0.5258396893954131,0.46836121136896414,8.34876000772108,0.07960642463421305,2.0046305940469944
